Lema	Clase	Frecuencia	Frec. norm.	Frec. norm.
		general	con signos punt.	sin signos punt.
el	T	38295913	96592.209	110935.121
de	P	24649358	62172.063	71403.951
,	Y	21900768	55239.408	63441.87
.	Y	14867732	37500.27	43068.66
y	C	9842465	24825.245	28511.529
en	P	9375535	23647.527	27158.932
a	P	8470172	21363.967	24536.288
uno	Q	7222788	18217.742	20922.882
que	H	5885586	14844.972	17049.292
se	L	5445418	13734.754	15774.219
ser	V	5050654	12739.057	14630.671
que	C	4587490	11570.838	13288.984
suyo	X	3497355	8821.235	10131.094
con	P	3432147	8656.763	9942.2
no	R	3392883	8557.729	9828.461
'	Y	3216140	8111.938	9316.474
por	P	3171565	7999.508	9187.35
para	P	2658505	6705.438	7701.124
lo	L	2039766	5144.818	5908.769
este	D	1876240	4732.363	5435.069
como	C	1718254	4333.882	4977.417
estar	V	1624151	4096.529	4704.82
tener	V	1541756	3888.708	4466.139
le	L	1524936	3846.283	4417.415
)	Y	1412838	3563.543	4092.691
:	Y	1383537	3489.639	4007.813
ir	V	1379564	3479.618	3996.304
(	Y	1366883	3447.633	3959.57
más	R	1363838	3439.953	3950.749
me	L	1356448	3421.313	3929.342
-	Y	1298335	3274.737	3761.001
hacer	V	1268661	3199.892	3675.041
lo	T	1245780	3142.18	3608.76
poder	V	1218209	3072.639	3528.893
ese	D	1199179	3024.64	3473.767
todo	Q	1196248	3017.247	3465.276
o	C	1159037	2923.391	3357.484
haber	V	1142464	2881.59	3309.475
pero	C	1101481	2778.22	3190.756
él	L	1000713	2524.057	2898.853
otro	Q	960286	2422.09	2781.744
decir	V	956533	2412.624	2770.873
?	Y	930222	2346.261	2694.655
¿	Y	916038	2310.485	2653.567
??	U	842425	2124.814	2440.326
	Y	798987	2015.252	2314.496
año	N	761080	1919.641	2204.687
si	C	733030	1848.891	2123.432
mío	X	673937	1699.844	1952.252
dar	V	630424	1590.093	1826.204
ver	V	616554	1555.109	1786.026
;	Y	615845	1553.321	1783.972
sobre	P	613241	1546.753	1776.429
entre	P	606136	1528.832	1755.847
cuando	R	592434	1494.272	1716.155
también	R	559031	1410.021	1619.394
ya	R	531745	1341.199	1540.352
...	Y	509919	1286.148	1477.127
sin	P	505885	1275.973	1465.441
nos	L	496783	1253.015	1439.075
qué	W	494579	1247.456	1432.69
te	L	494383	1246.962	1432.122
/	Y	485115	1223.586	1405.275
dos	M	484441	1221.886	1403.323
saber	V	479765	1210.092	1389.777
muy	R	472116	1190.799	1367.62
primero	M	471722	1189.805	1366.478
mismo	Q	469374	1183.883	1359.677
desde	P	469357	1183.84	1359.627
porque	C	460288	1160.966	1333.357
alguno	Q	457308	1153.449	1324.724
uno	M	444304	1120.65	1287.054
vez	N	437491	1103.466	1267.318
yo	L	430669	1086.259	1247.557
día	N	428542	1080.894	1241.395
hasta	P	427247	1077.628	1237.644
deber	V	425180	1072.414	1231.656
querer	V	421748	1063.758	1221.714
nuevo	A	387739	977.978	1123.197
pasar	V	371433	936.85	1075.962
llegar	V	367279	926.373	1063.929
parte	N	362800	915.076	1050.954
país	N	356460	899.084	1032.589
grande	A	354870	895.074	1027.983
dejar	V	343581	866.6	995.281
tiempo	N	340743	859.442	987.06
donde	R	339706	856.826	984.056
mucho	Q	333784	841.89	966.901
vida	N	329994	832.33	955.922
nuestro	X	328632	828.895	951.977
llevar	V	301022	759.255	871.997
encontrar	V	299324	754.973	867.078
seguir	V	297287	749.835	861.177
%	R	293530	740.359	850.294
cada	Q	291321	734.787	843.895
sólo	R	289442	730.048	838.452
quien	H	288432	727.5	835.526
bueno	A	286506	722.642	829.947
ni	C	283921	716.122	822.459
persona	N	283123	714.11	820.147
poner	V	282936	713.638	819.605
quedar	V	282860	713.446	819.385
!	Y	281514	710.051	815.486
después	R	278524	702.51	806.825
mujer	N	274843	693.225	796.162
¡	Y	274423	692.166	794.945
ahora	R	264409	666.908	765.937
último	A	260947	658.176	755.908
aquel	D	259634	654.864	752.105
así	R	258189	651.22	747.919
hablar	V	255835	645.282	741.1
parecer	V	253835	640.238	735.306
aunque	C	253104	638.394	733.188
bien	R	251629	634.673	728.916
durante	P	248144	625.883	718.82
pensar	V	247053	623.132	715.66
mayor	A	246433	621.568	713.864
momento	N	245894	620.208	712.303
algo	Q	242640	612.001	702.877
forma	N	241857	610.026	700.608
casa	N	240489	606.576	696.646
siempre	R	240383	606.308	696.338
mundo	N	239759	604.734	694.531
hombre	N	239733	604.669	694.456
tres	M	239531	604.159	693.87
»	Y	236651	596.895	685.528
volver	V	236214	595.793	684.262
trabajo	N	235507	594.01	682.214
«	Y	234941	592.582	680.574
tan	R	230920	582.44	668.926
antes	R	230902	582.395	668.874
salir	V	225090	567.735	652.038
nacional	A	224483	566.204	650.28
niño	N	221508	558.701	641.662
cosa	N	220129	555.222	637.667
cómo	R	219205	552.892	634.99
conocer	V	219115	552.665	634.73
sí	R	217581	548.796	630.286
gobierno	N	214171	540.195	620.408
lugar	N	213804	539.269	619.345
nada	Q	212629	536.305	615.941
tomar	V	212199	535.221	614.695
realizar	V	210421	530.736	609.545
social	A	210066	529.841	608.517
creer	V	208637	526.237	604.377
llamar	V	207733	523.956	601.758
contar	V	206092	519.817	597.005
hora	N	205749	518.952	596.011
venir	V	203323	512.833	588.984
tratar	V	203025	512.082	588.12
mano	N	200335	505.297	580.328
tuyo	X	199230	502.51	577.127
estado	N	198515	500.706	575.056
grupo	N	198470	500.593	574.925
mirar	V	197554	498.282	572.272
caso	N	196531	495.702	569.309
sino	C	191135	482.092	553.677
hijo	N	190730	481.07	552.504
cual	H	190553	480.624	551.992
hacia	P	185242	467.228	536.607
propio	A	183556	462.976	531.723
entonces	R	182974	461.508	530.037
permitir	V	182416	460.1	528.42
punto	N	181485	457.752	525.723
hoy	R	179190	451.964	519.075
menos	R	178967	451.401	518.429
vivir	V	177391	447.426	513.864
presentar	V	176622	445.486	511.636
ante	P	176414	444.962	511.034
importante	A	175698	443.156	508.96
sentir	V	175160	441.799	507.401
luego	R	174693	440.621	506.048
